Name,Season Average PER,Negative Performances Count,Positive Performances Count,Trends,Average PER of Positive Performance,Average PER of Negative Performance,Average Positive Sentiment for All Trends,Average Negative Sentiment for All Trends,Positive Performance and Positive Sentiment Count,Positive Performance and Negative Sentiment Count,Negative Performance and Positive Sentiment Count,Negative Performance and Negative Sentiment Count,Average PER for A Negative Sentiment Trend,Average PER for A Positive Sentiment Trend,Positive Sentiment Average for Negative Performance,Negative Sentiment Average for Negative Performance,Positive Sentiment Average for Positive Performance,Negative Sentiment Average for Positive Performance
Bol Bol,18.352562042047463,4,4,8,51.11457973484849,-7.421714805366592,0.23711812760284254,0.07445502083862612,4,0,4,0,0.0,21.84643246474095,0.22713665727410282,0.08462888802312202,0.24709959793158232,0.06428115365413023
Blake Griffin,16.244609218272906,9,7,16,25.80663810859836,6.682385272820811,0.265408226260308,0.19809553589392212,4,3,8,1,20.892935688498863,13.10134928846503,0.3041279927615303,0.19911397185717242,0.2156256693301651,0.19678611822688602
Aaron Gordon,17.208277559231682,6,8,15,26.981374209676122,6.853815379791324,0.33420946863447837,0.15458517719251103,8,0,5,1,1.599013347763347,19.459924599836803,0.32424427445589654,0.1984907663295761,0.3497807913710407,0.11895840710017515
Kyrie Irving,29.668935610567747,10,9,19,39.37180239233035,19.159264811572108,0.271461777910381,0.16388667784745636,9,0,7,2,19.281588489447557,30.685969020200282,0.26252683789372744,0.2122222824829442,0.281389489039996,0.11018045047469212
Paul George,24.079751978614915,9,6,17,32.082886685831525,14.254581637920824,0.2763782812108308,0.19823477441682558,6,0,6,3,18.045579800516318,22.863123199455224,0.2537988289483921,0.22446642956129573,0.3411537499061426,0.17853861863671092
Kevin Love,18.69208827304705,4,2,6,27.462775412293855,10.362313961183963,0.9261239868682152,0.047533580173210514,2,0,4,0,0.0,16.06246777822059,0.9284554626213563,0.04637242435581399,0.9214610353619332,0.04985589180800355
Anthony Davis,25.70735255274329,5,4,9,37.32893168835216,12.3400296359246,0.19828161970555047,0.16146752519338514,3,1,2,3,17.289847161003078,28.37129725780387,0.1478122004467965,0.16236609730841606,0.2613683937789929,0.16034431004959648
Ben Simmons,22.02364337700007,8,5,14,33.669925390974484,13.495825279613271,0.3715250203575617,0.2097756485684697,5,0,5,3,13.33840821228479,23.453965864038103,0.33457484769885254,0.25052676723570305,0.4506949815340726,0.1333374990528883
Jayson Tatum,26.277561444419103,9,6,15,39.660829515358465,14.294965058955079,0.28824593733424303,0.19232357939777192,5,0,6,3,11.434670922388586,26.073845441416434,0.27979223396897385,0.22770277838908573,0.30092649238214664,0.1392547809108012
Victor Oladipo,18.5400379094237,5,4,9,29.115216694749513,5.384253998167138,0.31694968146917013,0.23922267772129935,3,1,4,1,19.537873179883512,14.900912915723817,0.3379349810818423,0.23403193619356294,0.29071805695333,0.24571110463096976
Lonzo Ball,18.732953874276088,6,8,14,27.591693244515437,9.594545135798391,0.3319873892736558,0.17849594455503018,6,2,6,0,27.537994074181395,18.60206905187925,0.34711976630695635,0.1719419162478879,0.3206381064986803,0.1834114657853868
Zach LaVine,26.606561081082667,7,8,16,37.76817976948171,18.10361848176078,0.29275467497174623,0.1403701398065995,7,1,6,1,30.15183697939905,28.268429615858043,0.25424806515627985,0.1668147852099895,0.3506725012650808,0.13412630088779157
Anthony Edwards,17.070721893445988,8,9,18,27.82280362562223,6.376622476858531,0.30722693769381554,0.1367268015431225,9,0,7,1,3.4238638131540116,18.589351848875783,0.23302148094460992,0.18570116042081627,0.34182659408014154,0.10780110961277088
Damian Lillard,30.196447970290254,9,8,18,41.10823543829,20.68074691375031,0.28052438679620034,0.1396837594106427,7,0,6,3,22.153575777840725,31.405046957753086,0.34679376639546267,0.15970369947518914,0.23230032395677036,0.11446050644177756
LeBron James,28.545975381983347,6,7,13,37.020956701114606,19.90216626051561,0.22980589689488357,0.21513030822508838,4,2,3,3,28.370477954504388,29.2866188084512,0.2243932704986706,0.28751080582733773,0.23444529094878042,0.15308988170887464
Joe Harris,15.91476353526547,9,10,20,24.906472157168096,6.912360001257739,0.3028766129796999,0.22115592249848542,6,4,5,4,17.121996101264777,15.909891702847725,0.281357591291083,0.2232132072655194,0.3282070694731008,0.23385239089043575
Cameron Johnson,15.344409972713175,10,11,21,26.0243294402856,5.574573856500922,0.32093447229858424,0.2862560923149139,10,1,3,7,6.622418880421892,22.233385489598128,0.28998410751915316,0.42474082760114173,0.3490711675526126,0.160360878418343
Jamal Murray,21.23180226922718,5,4,10,30.759409274299642,10.814545689489632,0.33522521699579744,0.20482685012132298,2,2,4,1,25.71977647395542,17.290530002908895,0.4367314350456238,0.17741408984089696,0.2666385446008312,0.28009543136953313
Miles Bridges,17.69886766588904,4,6,10,27.555531172173417,8.719382589006674,0.32014556918844345,0.12835607631717266,3,2,4,0,29.82027194302409,16.296196745605034,0.4378446115288221,0.060180122022227285,0.24167954096152441,0.1738067125138029
Julius Randle,22.09101829192325,7,11,18,30.681294727598594,12.978925876147883,0.3372154713382395,0.16165083836755842,9,2,5,1,25.699374901381763,24.479933459232637,0.34810856963015097,0.1754205325945612,0.33028349969793225,0.15288830567764747
LaMelo Ball,19.56336033745248,5,6,11,31.591759025746146,10.593549358248783,0.2789242406536576,0.1585362032715589,6,0,4,1,0.8982803846153861,24.162002056110545,0.2991607415031662,0.23621200576327964,0.26206048994573394,0.09380636786179164
Jimmy Butler,29.806203478942283,6,5,12,37.615761562316074,20.12784083702179,0.3440313662809398,0.1799359726075215,5,0,4,2,13.447891063266106,31.224482746393562,0.33838083914819844,0.23250734543232,0.3998266054297508,0.14450418640593435
Joel Embiid,35.71399547746458,4,6,11,48.329358213974444,19.228408228475068,0.3267395105913153,0.23212256668679612,5,1,3,1,31.94835153242025,38.34766135644913,0.2974968973514648,0.1857665712801041,0.3707286243666221,0.23617058691134155
Nikola Vucevic,27.75133339442126,6,13,20,35.25874320030434,15.43406796655605,0.4725250026416504,0.11091171734289573,13,0,6,0,0.0,28.927006091132363,0.4426971393152283,0.1015904498963381,0.4669531412748879,0.12138590775800916
Jaylen Brown,24.38823811011399,10,6,16,36.50554595253051,15.749301655829166,0.33988359887761926,0.14508432370833788,6,0,9,1,3.9936077291381675,24.835512302955767,0.34251217296773884,0.18005686394248238,0.33550264206075325,0.08679675665143027
Danny Green,14.50487548850927,10,8,19,24.20601094893304,7.09299743094468,0.21928835689586096,0.740467138050122,0,8,0,10,14.73445202888829,0.0,0.2023363869776987,0.7513475534513507,0.24966019723887958,0.717862511054851
Nikola Jokic,36.56975428548225,7,9,18,47.27289304543204,27.86115474384027,0.2591991322796931,0.2064062709870802,6,3,4,3,38.706788581362225,38.41333322437908,0.2588298664967252,0.3014043356439253,0.26574314119941583,0.15103825488452458
Ja Morant,22.054213204594305,12,6,19,32.52080756588375,12.78218192650965,0.25952937168233586,0.17630980635791338,5,1,9,3,15.900757020179288,20.471943718716584,0.24068641029497603,0.21734002847686196,0.298803523070778,0.106273218735224
Norman Powell,18.270807518259804,8,10,18,29.88673491835832,7.776033060943812,0.3242985250367978,0.1447792474252461,9,1,7,1,15.720462360446572,20.602168059390035,0.330987896609512,0.12727445365335532,0.31894702777862655,0.15878308244275874
Evan Fournier,18.391572916071148,7,6,13,29.990967420330914,6.688719238628559,0.3816570447067754,0.12396817087442882,6,0,6,0,0.0,17.68495041159037,0.37931295016884287,0.12375141301663095,0.38439182166769686,0.1242210550418597
Devin Booker,22.848980588277595,8,13,25,34.06031732065347,13.204294911443858,0.27833148478818126,0.17798876921608708,10,3,8,0,35.37452404052162,24.154141654204043,0.3191719253935262,0.15268933317515773,0.2744694087122943,0.19923214129515
Donovan Mitchell,27.056285764944214,7,7,15,35.947387243439906,16.305964393109367,0.32515745918152095,0.17072045222788074,6,1,6,1,28.437783456035923,25.818340166370824,0.25222195936839575,0.19434456324817836,0.3905099757393045,0.15742132068943437
RJ Barrett,15.937428485685277,8,8,17,24.510618269786622,8.061668153279838,0.38591434054124774,0.18200400010498877,7,1,8,0,24.980039590254705,15.785382606486202,0.39300466746156837,0.1878710567742278,0.3765168581011513,0.18386012104450178
John Wall,20.585979713019835,3,4,7,29.01255341761879,11.506112538636144,0.3110770010939604,0.16249491673011338,3,1,3,0,27.273685294117648,20.549144332044325,0.336177113882032,0.1340284546841924,0.2922519165029067,0.18384476326455418
Zion Williamson,32.58482122904641,8,8,16,41.94435732393502,24.914136558713754,0.376966692427318,0.15432560257760025,7,1,7,1,29.200005162974275,34.03342433823154,0.35490015792077234,0.1474772519129511,0.3990332269338638,0.1611739532422493
Matt Thomas,10.538226040294248,7,5,12,40.40228275324675,-7.283318024848829,0.4283090522083112,0.10438008442917694,3,2,7,0,31.465150613275615,8.809788636574073,0.42412291975911265,0.10205730501813018,0.4341696376371892,0.1076319756046424
Trae Young,26.811219709648288,7,10,18,37.06369121889779,13.525134679318011,0.82902118383203,0.1623407572859573,10,0,7,0,0.0,27.34492181419998,0.8262922038054334,0.160853293307021,0.8237812322129084,0.17019197403017494
Draymond Green,15.937062329854713,10,7,19,26.040473709281226,8.627217878682405,0.20262157402788455,0.749101351612815,0,7,0,10,15.844873186332794,0.0,0.21627186659840794,0.730740241875426,0.1855047199267895,0.7810271326508419
